regulator,coef_tumor,sem_tumor
ZNF613,0.0017895310042727,0.0002959088204455
CARNMT1,0.0017878332929839,0.0002210959814917
RASAL3,0.0017853500703741,0.0002235617046067
ZMYND19,0.0017846499632475,0.00016514747614
PRXL2B,0.0017791124028511,0.0001482198278521
JRK,0.001778086454341,0.0001351143909717
CTNNBL1,0.0017755341995589,0.0001699430051598
DNAJA3,0.0017751429365786,0.000130499044288
MRPL11,0.0017676544902999,0.0001264059342891
ARHGAP11A,0.00176597125429,0.0002390394020765
ZNF93,0.0017653715637144,0.0001730151260262
SLAMF6,0.0017640803013802,7.938464507662803e-05
CASP9,0.0017622924244094,0.0002658656872599
FHL1,0.0017617630380139,0.0001427142726981
TENT2,0.0017605504856792,0.0003112067236919
ATP8B1,0.0017604389284475,0.0001667646306035
FAM241A,0.0017602563438678,0.000195781867792
CCDC22,0.001756833837006,0.000221516465175
SENP1,0.0017480050806906,0.0003363796802882
DHRS7,0.0017477817177984,0.0002672527457664
CNIH4,0.0017472257091052,0.0002497451211545
C5orf63,0.001744553933667,0.0002072532779611
CNOT10,0.0017413722922509,0.0002007834324438
NOL3,0.0017368776553324,0.0001691945388349
MRPS5,0.0017340856514402,0.000182842040988
GABARAPL1,0.0017333223068301,0.0001303168732265
FOXS1,0.0017318950793138,0.0002312790433171
C2CD2L,0.0017313241933819,0.0001914287737737
CRTC2,0.0017232092963879,0.000210321043546
PABIR1,0.0017182216740042,0.0002160826898944
ZCCHC8,0.0017140308935676,0.0002987409631975
METTL23,0.0017123387262816,0.0002060389521193
EEF1E1,0.001710095129281,0.0003497319768992
DDX5,0.001709569042662,0.000288507751949
UBE2I,0.0017074253155115,0.0003984619921185
FBXL17,0.0017060468268093,0.0003005828131998
ARPC4-TTLL3,0.0017038847929517,0.0002896249461662
MBTPS1,0.0017012973718482,0.0002594665906851
TASOR,0.0016920977365755,0.0004238123398679
BCS1L,0.0016879987293013,0.0001708332247662
MORC2,0.001682897201231,0.0001448648564978
TMPPE,0.0016823579139084,0.0003454571964058
COQ2,0.0016819095333126,9.080820675849894e-05
TOB2,0.00167760119314,0.0001616257073411
LRRC2,0.0016766202093521,0.000325995218415
IKBIP,0.0016745008453604,0.00055876782479
DCAF11,0.0016616116333507,0.0002024877921801
TIMM10,0.0016580642348332,0.0002007697010403
ANKZF1,0.0016579051000654,0.00023176211161
HEATR5A,0.0016552096726775,0.0002399428965551
HMGXB4,0.0016484308662057,0.0003512378325918
FOXM1,0.0016455172913981,0.0003205535422504
NIPBL,0.0016455152627875,0.0003075378623917
TBC1D10A,0.0016453772104838,0.0001726065241103
PFAS,0.0016423215500205,0.0001640237149701
RHOF,0.001632202833902,0.0001565944510519
SLC25A3,0.0016185072142555,0.0002395424482185
KHDRBS1,0.0016163333439049,0.000286062048081
AKIRIN2,0.0016099745693157,0.0003247407471283
AP1S2,0.0016024333953379,0.0003017550891899
SHC1,0.0015958071672973,0.0001224056388908
APOBEC3B,0.0015948216168166,0.0003607504853829
PIGN,0.0015936896750954,0.0002248139992062
DAGLA,0.0015908384587894,0.0003678008637513
SAC3D1,0.0015857046812714,0.0001346745777047
GIGYF2,0.0015838009229257,0.0002207883303429
USP28,0.0015762057953467,0.0002079756648236
TM9SF2,0.001576175850599,9.79677150572624e-05
PMVK,0.0015722020729682,0.000232430482525
GPI,0.0015664534091621,0.0001454981852835
ZNF444,0.0015599793815808,0.0001648500881515
DYNLT2B,0.0015596140982726,0.0001074234008528
NUDT16,0.001558089482932,0.0002405127950137
TEAD4,0.0015536259030981,0.0002890073034044
DNTTIP1,0.0015511022068386,0.0002922591385069
CCNF,0.0015469750702472,0.000209997520684
DPH7,0.0015458069467425,0.0001115710976369
TXNL1,0.0015433292645726,9.650228898503804e-05
HSD11B2,0.0015349697793584,0.0001123619573245
ZNF662,0.0015336664859747,9.55017598754398e-05
INTS12,0.0015332050628357,0.0004127473669464
SBDS,0.0015313705084187,0.000253364158214
CDK13,0.001531183239586,0.0001767465271448
KIF1C,0.0015290333849466,0.0001536039265897
KAT6A,0.0015287593756212,0.0002583839329056
CEP19,0.0015264823644387,0.0002728459607371
CTU2,0.0015264504190881,0.0002556311129459
CPOX,0.0015242568588413,0.0001450485957521
VPS35,0.001517521867663,0.0002527903711359
SPSB2,0.0015142395559051,0.0003084824366669
TMEM140,0.0015136098690358,0.0003770713893402
IL21,0.0015062682989467,8.381781569382073e-05
CD244,0.0015006039484412,0.0002190945073205
ZSWIM4,0.0014985960300261,0.0001304499172976
HMGA1,0.0014975682412191,0.0002550500774862
EI24,0.0014875061497359,0.0001848625224679
WASL,0.0014780146645414,0.0002099550342977
MMP28,0.0014750455986935,0.0003522630503052
MRPL14,0.001474286491324,0.0003019096828323
TMEM258,0.001472580322057,0.0001826781654796
ATXN2L,0.0014661275812609,0.0002388558233654
PRR5L,0.0014654589374323,0.0001840321011929
MRRF,0.0014622901509926,0.0001937876006149
PPP1R1A,0.0014611726571236,0.0001308213110247
POLR3H,0.0014556735289468,0.0002756284803704
